ID	Command (Tiếng Việt)	Command (Tiếng Anh)	Command (Tiếng Pháp)	Command (German)	Ghi chú 
	Chọn chế độ phát lại một bài	I want to hear this song again 	Je veux réécouter cette chanson	Ich möchte dieses Lied noch einmal hören	
	Phát lại bài hát này		Rejouez cette chanson	Spiel dieses Lied noch einmal ab	
	Chọn chế độ phát lại 1 bài		Répète la lecture de cette chanson		
	Chọn chế độ phát lại		Répète ce morceau de musique		
	Nghe nhạc theo chế độ phát lại		Rejoue cette chanson		
	Chơi nhạc theo chế độ phát lại một bài				
122	Tắt phát lại | không phát lại nữa	Repeat off	Désactiver la répétition des chansons	Hör auf, Musik noch einmal abzuspielen 	
	Tắt phát lại	Repeat off 	Désactive la répétition des chansons	Hör auf, die Lieder zu wiederholen	
	Không phát lại nữa	Stop replaying music 	Arrêtez la répétition des chansons	Hör auf, Musik wiederzugeben	
	Hủy phát lại	I don't want to repeat my songs anymore 	Annulez la répétition des chansons		
	Ngưng phát lại	Shut down replay mode 	Ne rejouez pas des chansons	Unterbrich die Wiedergabe der Lieder	
	Ngừng phát lại	Stop replaying  	Désactive la répétition des chansons		
	Dừng phát lại	Stop repeating my list 	Arrête la répétition des chansons		
	Bỏ phát lại		Annule la répétition des chansons		
	Tắt chế độ phát lại bài hát		Ne rejoue pas des chansons		
	Đừng phát lại nữa		Ne répétez plus de chansons 	Stopp den Wiedergabemodus	
	Ngưng chế độ phát lại bài			Verwende nicht mehr den Wiedergabemodus 	
123	Bật phát trộn bài | phát trộn bài | trộn bài	Shuffle on | Shuffe	Activer la lecture aléatoire dans l’app Musique	Spiel Musiktitel in zufälliger Reihenfolge ab	
	Bật phát trộn bài	Shuffle on   	Active la lecture aléatoire des chansons	Spiel Musiktitel in zufälliger Reihenfolge ab	
	Phát trộn bài	Shuffle 	Activez la lecture aléatoire des chansons	Spiel die Lieder zufällig ab	
	Trộn bài	Shuffle the music 	Jouez ma playlist de manière aléatoire.	Aktivier den Shuffle-Modus	
	Chọn chế độ trộn bài hát	I want to shuffle the music 	Lis cet album de façon aléatoire.	Wähl den Shuffle-Modus aus	
	Mở chế độ trộn bài hát	Start music shuffling 	Lisez cet album de façon aléatoire.	Spiele dieses Album nach dem Zufallsprinzip ab.	
	Mình muốn nghe theo chế độ trộn bài hát		Je veux écouter les chansons de manière aléatoire	Ich möchte Musik im Shuffle-Modus hören	
	Mở phát trộn bài		Joue ma playlist de manière aléatoire		
	Chơi nhạc theo chế độ trộn		Pouvez-vous ouvrir les chansons de manière aléatoire	Hör Musik im Shuffle-Modus	
	Chơi nhạc theo kiểu trộn bài hát		Pouvez-vous jouer ma playlist de manière aléatoire		
	Phát bài hát theo chế độ trộn bài				
124	Tắt phát trộn bài	Shuffle off	Désactiver la lecture aléatoire dans l’app Musique	Hör auf, Musiktitel in zufälliger Reihenfolge abzuspielen	
	Tắt phát trộn bài	Shuffle off 	Désactive la lecture aléatoire des chansons	Deaktivier die Zufallswiedergabe	
	Hủy phát trộn bài	Stop music shuffling 	Désactivez la lecture aléatoire des chansons	Deaktivier den Shuffle-Modus	
	Bỏ phát trộn bài	Turn off shuffling mode 	Ne jouez plus ma playlist de manière aléatoire.		
	Ngưng trộn bài	Disable shuffling mode 	Arrêtez de lire cet album de façon aléatoire.		
	Bỏ chọn chế độ trộn bài hát		Désactive la lecture aléatoire des chansons		
	Ngừng chế độ trộn bài hát		Ne joue plus ma playlist de manière aléatoire.	Hör auf, dieses Album zufällig abzuspielen.	
	Thôi phát trộn bài		Arrête de lire cet album de façon aléatoire.		
	Tắt chế độ phát trộn bài để nghe lần lượt		Annulez la lecture aléatoire des chansons		
	Tắt trộn bài hát đi		Annule la lecture aléatoire des chansons		
	Tắt kiểu trộn bài hát đi				
125	Mở bài X	Play song named X | Play X	Écouter la chanson X | Jouer la chanson X	Spiel das Lied X ab	
	Mở bài Đồi hoa mặt trời	Play song named "Đồi hoa mặt trời"	Écoutez la chanson "Đồi hoa mặt trời"	Spiel das Lied "Đồi hoa mặt trời" ab	
	Mở bài Công chúa bong bóng	Open song "Công chúa bong bóng"	Ouvrez la chanson "Công chúa bong bóng"	Ich möchte das Lied namens "Công chúa bong bóng" hören	
	Chơi bài Chuyện chưa kể	Play "Chuyện chưa kể"	Jouez la chanson "Chuyện chưa kể"	Hör das Lied "Chuyện chưa kể"	
	Phát bài Độ ta không độ nàng	Start the song named "Độ ta không độ nàng"	Commencez la chanson "Độ ta không độ nàng"	Das Lied "Độ ta không độ nàng" bitte	
	Nghe bài Duyên phận	Listen to "Duyên phận"	Je veux jouer la chanson "Baby Shark"	Spiel den Song "Duyên phận" ab	
	Bật bài Hồng Nhan	Play "Hồng nhan"	Pouvez-vous jouer la chanson "Thằng Hầu"	Der Song "Hồng Nhan" bitte	
	Bật bài Baby Shark	I want to play song named  "Baby Shark"	Je veux écouter "Baby Shark"	Hör "Baby Shark"	
	Bật cho tao bài Thằng Hầu	Can you please play "Thằng Hầu" song	Peux-tu jouer la chanson "Thằng Hầu"	Kannst du das Lied "Thằng Hầu" abspielen?	
	Bật bài hát Đập vỡ cây đàn cho mình với	I want to listen to "Đập vỡ cây đàn"	Je veux écouter "Đập vỡ cây đàn"	Ich möchte das Lied "Đập vỡ cây đàn" hören	
	Phát bài hát Đồi hoa hướng dương	Play "Đồi hoa hướng dương"			
126	Mở media player| mở ứng dụng nhạc | mở trình phát nhạc	Open music app | Show media | open media app | open media player	Ouvrir l'application de musique | Afficher les médias | Ouvrir l'application multimédia | ouvrir le lecteur multimédia	Öffne Mediaplayer/ Öffne Musik-App	
	Mở ứng dụng nhạc	Open music app  	Ouvrez l'application de musique	Öffne Musik-App	
	Mở ứng dụng nhạc lên xem	Show media 	Affichez les médias	Öffne Mediaplayer	
	Bật ứng dụng nhạc	Open media app 	Ouvrez l'application multimédia		
	Bật trình phát nhạc	Open media player 	Ouvrez le lecteur multimédia		
	Mở app nhạc	Access to music app 	Accès à l'application de musique		
	Mở media player	Asscess to media player 	Accès au lecteur multimédia		
	Truy cập ứng dụng nhạc	Turn on music app 	Activez l'application de musique	Zugriff auf Mediaplayer	
	Truy cập ứng dụng nhạc xem nào		Affiche les médias	Zugriff auf Musik-App	
	Truy cập media player		Ouvre l'application multimédia		
	Ứng dụng nhạc bật lên đi		Ouvre le lecteur multimédia		
127	Bài tiếp theo | Chuyển bài sau | next bài | next	Next | Next song	Prochaine chanson	Spring zum nächsten Lied/ Das nächste Lied	
	next nhạc	Next	Passez à la chanson suivante	Das nächste Lied bitte	
	chuyển nhạc sang bài sau	Next song 	Allez à la chanson suivante	Spring zum nächsten Lied	
	next sang bài sau	Move on to the next song 	Je veux écouter la chanson après ça	Nächster Titel	
	chuyển bài sau	Go to the next song 	Prochaine chanson s'il vous plaît		
	bài sau đi	I want the next song 	Je veux la chanson suivante	Ich will das nächste Lied	
	chuyển sang bài sau	Can you play the next song for me	Peux-tu jouer la chanson suivante pour moi	Hör das nächste Lied	
	bài tiếp	Next please 	Passe à la chanson suivante	Das nächste Lied	
	bài tiếp theo	I want to listen to the song after this 	Va à la chanson suivante	Ich will das nächste Lied hören	
	bài sau xem nào	Play the next song for me 	Puis-je écouter la chanson suivante?	Spiel das nächste Lied ab	
	bài này chán thế chuyển bài sau		Passe à la chanson suivante pour moi		
128	Bài trước | bài trước đó	Previous | Previous song	Chanson précédente	Das vorherige Lied bitte	
	back nhạc	Go back to the last song 	Revenez à la dernière chanson	Spiel das vorherrige Lied ab	
	bài trước	Previous   	Retournez à la dernière chanson	Voriger Titel	
	back lại	I want to listen to the previous song 	Je veux écouter la chanson précédente		
	back nhạc đê	Previous song 	Pouvez-vous jouer la chanson précédente		
	back nhạc lại	Can you play the previous song 	Reviens à la dernière chanson	Ich will das vorherige Lied hören	
	bài trước đi	I want the song before this 	Retourne à la dernière chanson	Ich will das vorherige Lied	
	bài trước đó		Puis-je écouter la chanson précédente?	Hör das vorherige Lied	
	quay lại bài trước		Peux-tu jouer la chanson précédente?	Spring zum vorherigen Lied	
	quay lại bài nãy		Je voudrais écouter la chanson précédente		
	bài nãy đi		Retourne à la dernière chanson pour moi	Das vorherige Lied bitte	
129	Bật đài | mở đài	Open Radio | Radio On | Turn radio on	Ouvrir la radio 	Mach das Radio an/ Schalte das Radio ein	
	Bật đài	Open radio   	Ouvrez la adio 	Mach das Radio an	
	Mở đài	Radio on 	Allumez la radio	Schalte das Radio ein	
	Chơi đài	Turn on radio 	Activez la radio		
	Phát đài	I want to listen to radio 	Je veux allumer la radio	Ich möchte Radio hören	
	Nghe đài	Can you please turn the radio on	Je veux écouter la radio	Hör Radio	
	Đài mở lên	Hey, turn the radio on right now	Ouvre la adio 	Kannst du das Radio einschalten?	
	Đài bật lên	Play the radio please 	Allume la radio	Kannst du das Radio anmachen?	
	Đài đâu bật lên đi	Start the radio please 	Active la radio	Radio bitte	
	Bật đài để nghe nhạc		Peux-tu allumer la radio?		
	Mở đài để nắm thông tin giao thông		Peux-tu allumer la radio maintenant?		
130	Bật đài FM | mở đài FM	Open Radio FM | Open FM Radio | FM Radio | Radio FM | Play FM	Ouvrir la Radio FM	Mach das Radio FM an/ Schalte das Radio FM ein	
	Bật đài FM	Open radio FM   	Ouvrez la Radio FM	Mach das Radio FM an	
	Mở đài FM	Play FM radio 	Allumez la radio FM	Schalte das Radio FM ein	
	Khởi động đài FM	Start FM 	Activez la radio FM		
	Phát đài FM	Play FM  	Je veux allumer la radio FM		
	Chơi đài FM	Open FM rasio 	Je veux écouter la radio FM		
	Nghe đài FM	FM radio 	Ouvre la Radio FM	Hör Radio FM	
	Đài FM	I want to listen to FM radio 	Allume la radio FM	Radio FM bitte	
	Khởi động đài FM		Active la radio FM		
	Đài FM mở lên		Peux-tu allumer la radio FM?	Kannst du das Radio FM anmachen	
	Đài FM bật lên ngay bây giờ		Peux-tu allumer la radio FM pour moi?	Kannst du das Radio FM einschalten	
				Ich möchte Radio FM hören	
131	Bật đài AM | mở đài AM	Open Radio AM | Open AM Radio | AM Radio | Radio AM | Play AM	Ouvrir la Radio AM	Mach das Radio AM an/ Schalte das Radio AM ein	
	Bật đài AM	Open Radio AM    	Ouvrez la Radio AM	Mach das Radio AM an	
	Mở đài AM	Open AM radio 	Allumez la radio AM	Schalte das Radio AM ein	
	Khởi động đài AM	Start AM radio 	Activez la radio AM		
	Phát đài AM	AM radio 	Je veux allumer la radio AM		
	Chơi đài AM	Play Am 	Je veux écouter la radio AM		
	Nghe đài AM	I want to listen to AM radio 	Ouvre la Radio AM	Hör Radio AM	
	Đài AM	Radio Am 	Allume la radio AM	Radio AM bitte	
	Khởi động đài AM	Turn on Radio AM right now 	Active la radio AM		
	Đài AM mở lên		Peux-tu allumer la radio AM	Kannst du das Radio AM einschalten?	
	Đài AM bật lên ngay bây giờ			Kannst du das Radio AM sofort anmachen?	
132	Mở đài tần số X | mở đài [FM] tần số X | mở đài [AM] tần số X | đài FM tần số X	Tune to X | play X | Open radio frequency X	Ouvrir la station X | jouer X | Ouvrir la radio à X	Mach das Radio FM auf der Frequenz X an	
	Mở đài tần số 101 Hz	Tune to 101 Hz 	Ouvrez la radio à 101 Hz	Mach das Radio 101 Hz an 	
	Mở đài tần số 100 MHz	Play 100 MHz 	Ouvrez la radio à 100 MHz	Schalte das Radio 100 MHz ein	
	Mở đài FM tần số 96.5 MHz	Open radio frequency 96.5 MHz 	Ouvrez la radio 96,5 MHz	Mach das Radio FM auf der Frequenz 96.5 MHz an	
	Đài FM giúp tôi trên tần số FM 102,7 MHz	Play FM 102.7 	Écoutez FM 102.7	Such die Frequenz 102.7 MHz	
	Mở đài AM 675 KHz	Play AM 675 KHz 	JoueZ AM 675 KHz	Mach das 675-KHz-Radio an	
	Mở đài AM tần số 675 KHz	Turn on AM 675 KHz 	Allumez AM 675 KHz	Radio AM auf der Frequenz 675 KHz	
	Bật đài tần số 101 Hz	Play radio 101 Hz 	Écoutez la radio 101 Hz	Stell das Radio auf der Frequenz 101 Hz ein	
	Bật đài tần số 100 MHz	Play FM 96.5 MHz 	Je veux écouter la radio FM 96,5 MHz	Hör Radio auf der Frequenz 100 MHz	
	Bật đài FM tần số 96,5 MHz	Radio AM 549 KHz 	Tu peux allumer la radio à AM 549 KHz	Hör Radio FM 96.5 MHz	
	Đài AM tần số 549 KHz		Allume AM 675 KHz	Radio AM 549 KHz	
133	Mở đài [VOV giao thông] | đài [vov giao thông]	Open [radio's station name] |play [radio's station name]	Ouvrez [nom de la station de radio] | écoutez [nom de la station de radio]	Öffne [Name des Radiosenders]/ Die Radiosendung [Name des Radiosenders]	
	Mở đài vov giao thông	Open "VOV giao thông" 	Ouvrez "VOV giao thông"	Öffne "VOV giao thông"	
	Đài vov giao thông	Play "VOV giao thông"	Écoutez "VOV giao thông"		
	Mở đài vov1 đài tiếng nói việt nam	Go to "VOV1 đài tiếng nói Việt Nam"	Allez à "VOV1 đài tiếng nói Việt Nam"		
	Đài vov1 đài tiếng nói việt nam	Channel "VOV 1 đài tiếng nói Việt Nam"	Chaîne "VOV 1 đài tiếng nói Việt Nam"	Die Radiosendung "VOV 1 đài tiếng nói Việt Nam"	
	Mở đài vov3 kênh âm nhạc	Tune to " VOV 3 kênh âm nhạc"	Ouvrez "VOV 3 kênh âm nhạc"	Spring zu "VOV 3 kênh âm nhạc"	
	Đài vov3 âm nhạc	Radio VOV3 âm nhạc	Radio VOV3 Musique	Radio VOV3 Musik 	
	Bật đài vov giao thông	Turn on đài vov giao thông 	Allumez la station "vov giao thông"	Hör "VOV giao thông"	
	Bật đài vov3 kênh âm nhạc	Play radio vov 1 đài tiếng nói Việt Nam 	Je veux écouter la station "vov 1 đài tiếng nói Việt Nam"		
	Bật đài vov1 đài tiếng nói việt nam		Peux-tu allumer la station "vov giao thông"?		
